index,published,topic,term,domain,language,valid,de,title,description,en,la,url,image,archive,content,quote,added,feed,country,ipcc,continent
28227f188de823cbd3a075f769ce8cf1,2026-03-04T14:25:03Z,Snow&Ice,zăpadă,hotnews.ro,ro,0.9,"Die ersten Märztage, bei Temperaturen von -25 Grad und „Hemdwetter“ – Wie lauten die Wetteraufzeichnungen zum Frühlingsanfang? Der März 2026 begann mit Temperaturinversionen und viel wärmerem Wetter im Westen als im Rest des Landes. Es gab jedoch Jahre, in denen der März mit Schnee und Temperaturen von ... begann.","Primele zile de martie, între temperaturi de -25 de grade și vreme „de tricou” – Care sunt recordurile meteo ale începutului de primăvară","În 2026 luna martie a început cu inversiuni de temperatură și vreme mult mai caldă în vest, decât în restul țării. Au existat însă ani în care martie a debutat cu zăpadă și temperaturi de…","The first days of March, between temperatures of -25 degrees and ""shirt"" weather - What are the weather records of the beginning of spring. In 2026 March started with temperature inversions and much warmer weather in the west than in the rest of the country. However, there have been years when March started with snow and temperatures of…","Primis diebus Martii, inter temperaturas -25 graduum et ""tunicam"" tempestatum - Quae sunt tempestatum ineuntis veris. Anno 2026 Martii cum inversionibus temperaturis incepit et multo calidiores in occidente quam in reliqua regione. Sed anni fuerunt quando Martius nives et temperaturas incepit…",https://hotnews.ro/primele-zile-de-martie-intre-temperaturi-de-25-de-grade-si-vreme-de-tricou-care-sunt-recordurile-meteo-ale-inceputului-de-primavara-2185235,https://hotnews.ro/wp-content/uploads/2026/02/Ghiocei-in-zapada.jpg,,"În 2026 luna martie a început cu inversiuni de temperatur i vreme mult mai cald în vest, decât în restul rii. Au existat îns ani în care martie a debutat cu zpad i temperaturi de iarn serioas, dar i … [+2127 chars]",,2026-03-06 20:58:55+00:00,random,,,
bff24cd2574d5005bebe4230587037f6,2026-03-02T18:13:23Z,Snow Avalanche,avalanșă de zăpadă,adevarul.ro,ro,0.9,"Der Moment, als zwei Skifahrer nach einer Lawine in Bucegi unter dem Schnee gefangen sind. Eine im Bucegi-Massiv entstandene Lawine wurde mit einer Insta 360-Kamera aufgenommen. Die Bilder zeigen den Moment, als zwei Skifahrer unter den vom Hang gelösten Schneebrettern eingeklemmt wurden.","Momentul în care doi schiori sunt prinși sub zăpadă, în urma unei avalanșe produse în Bucegi",O avalanșă produsă în Masivul Bucegi a fost surprinsă cu o cameră Insta 360. Imaginile arată momentul în care doi schiori au fost prinși sub plăcile de zăpadă desprinse de pe versant.,"The moment when two skiers are trapped under the snow, following an avalanche produced in Bucegi. An avalanche produced in the Bucegi Massif was captured with an Insta 360 camera. The images show the moment when two skiers were trapped under the snow slabs detached from the slope.","Tempus quo duo nautae sub nive capiuntur, sequentem montem cadentem in Bucegi. Avalanche producta in Bucegi Massif captus est cum Insta 360 camera. Imagines ostendunt momentum quo duo nautae sub nivalibus tabulis e clivo deiecti sunt.",https://adevarul.ro/stiri-locale/brasov/momentul-in-care-doi-schiori-sunt-prinsi-sub-2512175.html,https://cdn.adh.reperio.news/image-d/d3defa50-04a8-4500-af06-a5a76895682f/index.png?p=f%3Djpeg%26w%3D1200%26h%3D630%26r%3Dcover%26c%3D0.046%252C0.139%252C0.9%252C0.619,,O avalan produs în Masivul Bucegi a fost surprins cu o camer Insta 360. Imaginile arat momentul în care doi schiori au fost prini sub plcile de zpad desprinse de pe versant. Doar intervenia prompt a … [+1503 chars],,2026-03-08 15:49:40+00:00,random,,,
79467a135475b2eb835927b4a15514a3,2026-03-04T06:34:51Z,Landslide,alunecare de teren,www.mediafax.ro,ro,0.7,"Erdrutsch in Slatina. Sieben Häuser betroffen und 25 Menschen evakuiert. Nach einem anhaltenden Erdrutsch in Slatina wurden mehrere Häuser beschädigt oder sind in Gefahr, und Dutzende Menschen wurden vorsorglich evakuiert.",Alunecare de terene în Slatina. Șapte locuințe afectate și 25 de persoane evacuate,"Mai multe locuințe au fost afectate sau se află în pericol, iar zeci de persoane au fost evacuate preventiv, în urma unei alunecări de teren aflate în desfășurare în Slatina.","Landslide in Slatina. Seven homes affected and 25 people evacuated. Several homes have been damaged or are in danger, and dozens of people have been evacuated as a precaution, following an ongoing landslide in Slatina.","Landslide in Slatina. septem domos affectas et 25 populos emisit. Plures domos laesa sunt vel in periculo sunt, et justo hominum ad cautelam emissus est, sequens lapsus in Slatina permanentem.",https://www.mediafax.ro/stirile-zilei/alunecare-de-terene-in-slatina-sapte-locuinte-afectate-si-25-de-persoane-evacuate-23696855,https://www.mediafax.ro//wp-content/uploads/2026/03/whatsapp-image-2026-03-04-at-07-47-16.jpeg,,"Potrivit informaiilor transmise de Inspectoratul pentru Situaii de Urgen Olt, incidentul are loc pe strada Grdite din municipiul Slatina. 
Autoritile anun c în urma evalurilor, dou locuine au fost a… [+474 chars]",,2026-03-08 20:53:25+00:00,random,,,
a39aacf3da15f8500949d2403e97c062,2026-03-04T06:22:10Z,Landslide,alunecare de teren,www.digi24.ro,ro,0.9,"Alarmbereitschaft in Slatina, Dutzende Menschen wurden nach einem Erdrutsch evakuiert. Zwei Häuser betroffen, fünf weitere sind gefährdet. Dutzende Menschen, darunter auch Kinder, wurden in Slatina aufgrund eines Erdrutschs evakuiert, der ihre Häuser gefährdet. Zwei Häuser sind bereits betroffen, weitere fünf sind bedroht.","Alertă în Slatina, zeci de oameni au fost evacuați după o alunecare de teren. Două case afectate, alte cinci sunt în pericol","Zeci de oameni, printre care și copii, au fost evacuați în Slatina, din cauza unei alunecări de teren care le pune locuințele în pericol. Două case au fost deja afectate, alte cinci sunt amenințate.","Alert in Slatina, dozens of people were evacuated after a landslide. Two houses affected, five others are at risk. Dozens of people, including children, were evacuated in Slatina, due to a landslide that puts their homes at risk. Two houses have already been affected, another five are threatened.","In Slatina erecti, justos hominum post LAPSUS cedentes sunt. Duae domus affectae sunt, quinque aliae in periculo sunt. Dozens of people, including children, were in Slatina cessere, ob prolapsionem qui domos suas in periculo ponit. Duae domus iam affectae sunt, altera quinque denuntiata est.",https://www.digi24.ro/stiri/alerta-in-slatina-zeci-de-oameni-au-fost-evacuati-dupa-o-alunecare-de-teren-doua-case-afectate-alte-cinci-sunt-in-pericol-3658729,https://s.iw.ro/gateway/g/ZmlsZVNvdXJjZT1odHRwJTNBJTJGJTJG/c3RvcmFnZTA4dHJhbnNjb2Rlci5yY3Mt/cmRzLnJvJTJGc3RvcmFnZSUyRjIwMjYl/MkYwMyUyRjA0JTJGMjYyMTczNF8yNjIx/NzM0X2d6ZGdiLWhER3YucG5nJnc9MTIw/MCZoPTYzMCZ6Yz0xJmhhc2g9ZjRlMjYw/OWIzNGFhMTAwMGJhNTlhYjU1NWQ2ODNhMDM=.thumb.jpg,,"Zeci de oameni, printre care i copii, au fost evacuai în Slatina, din cauza unei alunecri de teren care le pune locuinele în pericol. Dou case au fost deja afectate, alte cinci sunt ameninate.
Dou l… [+913 chars]",,2026-03-08 20:53:25+00:00,random,,,
9c712c2bab746c372011d510fce3e689,2026-03-04T06:22:14Z,Landslide,alunecare de teren,www.biziday.ro,ro,0.9,"Nan. ISU Olt teilt mit, dass es in der Grădiște-Straße in der Nähe des alten Zentrums zu einem Erdrutsch kam. Ein Haus ist schwer beschädigt, ein anderes nur auf Dachebene. Fünf weitere Häuser sind von Schäden bedroht. Als vorbeugende Maßnahme gab es...",,"ISU Olt informează că pe strada Grădiște, din apropierea Centrului Vechi, s-a produs o alunecare de teren. O locuință este grav afectată, iar o altă doar la nivelul acoperișului. Alte cinci case sunt în pericol de a fi afectate. Ca măsură preventivă, au fost …","nan. ISU Olt informs that a landslide occurred on Grădiște Street, near the Old Center. One home is severely damaged, and another only at the roof level. Five other houses are at risk of damage. As a preventive measure, there were...","nan. ISU Olt informat ruinam factam in Gradite Street, prope Centrum Vetus. Una domus graviter laeditur, altera solum in gradu tecto. Quinque aliae domus in periculo damni sunt. Ut ullamcorper mensura erat.",https://www.biziday.ro/350303-2/,https://cdn.biziday.ro/wp-content/uploads/2026/03/alunecare-teren-slatina.jpeg,,"ISU Olt informeaz c pe strada Grdite, din apropierea Centrului Vechi, s-a produs o alunecare de teren. O locuin este grav afectat, iar o alt doar la nivelul acoperiului. Alte cinci case sunt în peric… [+470 chars]",,2026-03-08 20:53:25+00:00,random,,,
44b4f64c0d046dde4fcafc90cfcaa961,2026-03-04T10:15:32Z,Landslide,alunecare de teren,www.mediafax.ro,ro,0.9,"Der Erdrutsch in Slatina verursacht durch Ausgrabungen für das „größte Kreuz der Welt“. Ein massiver Erdrutsch erschütterte Slatina in der Gradiste-Straße, was zur Notevakuierung von 25 Menschen führte. Der Vorfall ereignete sich, nachdem der Boden aufgrund illegaler Ausgrabungen für das „größte Kreuz der Welt“ instabil geworden war.",Alunecarea de teren din Slatina cauzată de excavații pentru „cea mai mare cruce din lume”,"O alunecare de teren masivă a lovit Slatina, pe strada Gradiște, fapt ce a dus la evacuarea de urgență a 25 de persoane. Incidentul s-a produs după ce solul s-a destabilizat în urma unor excavații ilegale pentru „cea mai mare cruce din lume”.","The landslide in Slatina caused by excavations for the ""largest cross in the world"". A massive landslide hit Slatina, on Gradiste street, which led to the emergency evacuation of 25 people. The incident occurred after the ground became unstable due to illegal excavations for the ""world's largest cross"".","Lapsus in Slatina causatus excavatis ob ""crucem maximam in mundo"". Ingens ruina Slatina, in Gradiste vicum percussum est, quae in tumultum 25 hominum evacuatione facta est. Incidit res post terram instabilis facta propter illegales excavatis propter ""crucem maximum mundi"".",https://www.mediafax.ro/stirile-zilei/alunecarea-de-teren-din-slatina-cauzata-de-excavatii-pentru-cea-mai-mare-cruce-din-lume-23697026,https://www.mediafax.ro//wp-content/uploads/2026/03/whatsapp-image-2026-03-04-at-07-47-15.jpeg,,"În dimineaa zilei de miercuri, apte case au fost afectate de o alunecarede teren, care a dus i la evacuarea a 25 de persoane. 
Locuitorii indic ca primria Slatina, condus de edilul Mario De Mezzo, e… [+1066 chars]",,2026-03-08 20:53:25+00:00,random,,,
c69c766e3906a2dfdfbd35a1cf26a8e8,2026-03-01T13:48:51Z,Storm,val de furtună trinidad și tobago,adevarul.ro,ro,0.3,"100 Jahre an der Küste der Entdeckungen. Das Leben, der Ruin und die Wiedergeburt des Agigea Marine Resort, das zu Beginn über einen Strand, Cherhana und Aquarien verfügte. Der Traum von Ioan Borcea, dem ersten Ozeanographen in Rumänien, überlebte einen Weltkrieg, die Blaue Autobahn, verschwand jedoch aufgrund der Nachlässigkeit der Rumänen aus der Landschaft.","100 de ani pe țărmul descoperirilor. Viața, ruina și renașterea Stațiunii Marine de la Agigea, care avea la început plajă, cherhana și acvarii","Visul lui Ioan Borcea, cel care a făcut primele studii de oceanografie în România, a supraviețuit unui război mondial, Magistralei Albastre, dar era să dispară din peisaj din cauza nepăsării românilor.","100 years on the coast of discoveries. The life, ruin and rebirth of the Agigea Marine Resort, which at the beginning had a beach, cherhana and aquariums. The dream of Ioan Borcea, the one who did the first oceanography studies in Romania, survived a world war, the Blue Highway, but it was to disappear from the landscape due to the carelessness of the Romanians.","100 annis in oram inventorum. Vita, ruina et renascentia Agigea Marine Obstinatus, quae in principio litus habuit, cherhana et aquariums. Somnium Ioannis Borcea, qui primus studiis oceanographiae in Romania egit, bello mundo Veneto supervixit, sed ob neglegentiam Romanorum in campo evanuit.",https://adevarul.ro/stiri-locale/constanta/100-de-ani-pe-tarmul-descoperirilor-viata-ruina-2511395.html,https://cdn.adh.reperio.news/image-d/dbd3d411-3c3c-4505-800e-aabe3e6b895d/index.jpeg?p=f%3Djpeg%26w%3D1200%26h%3D630%26r%3Dcover,,"Visul
lui Ioan Borcea, cel care a fcut primele studii de oceanografie în România, a
supravieuit unui rzboi mondial, Magistralei Albastre, dar era s dispar din
peisaj din cauza nepsrii românilor. D… [+20946 chars]",,2026-03-10 03:14:18+00:00,wmo,Trinidad and Tobago,NSA,North-America
a035f2b627abfea2a73684d52496bbb6,2026-03-04T05:51:15Z,Landslide,alunecare de teren,adevarul.ro,ro,0.7,"Notfall in Slatina. 25 Menschen wurden aufgrund eines Erdrutschs evakuiert. Zwei Häuser betroffen und weitere gefährdet. Dutzende Menschen wurden aus ihren Häusern in der Gemeinde Slatina evakuiert, nachdem bereits zwei Häuser von einem Erdrutsch betroffen waren, weitere sind in Gefahr. Der Erdrutsch ereignete sich in der Grădiște-Straße bei Häusern, die am Fuße des gleichnamigen Hügels errichtet wurden.",Urgență în Slatina. 25 de persoane au fost evacuate din cauza unei alunecări de teren. Două locuințe afectate și altele în pericol,"Zeci de persoane au fost evacuate din locuințe în municipiul Slatina, în urma unei alunecări de teren  care a afectat deja două case, iar altele sunt în pericol. Alunecarea s-a produs pe strada Grădiște, la locuințe construite la baza dealului cu același nume.","Emergency in Slatina. 25 people were evacuated due to a landslide. Two homes affected and others at risk. Dozens of people were evacuated from their homes in the municipality of Slatina, following a landslide that has already affected two houses, and others are in danger. The slide occurred on Grădiște street, at homes built at the base of the hill of the same name.","Subitis in Slatina. 25 populus ob LAPSA cessisse. Duae domos afficiuntur et alii in periculo sunt. justos hominum e sedibus suis in municipio Slatina cedentes secuti sunt lapsi qui iam duas domos afficiebant et alii in periculo sunt. Lapsus factus est in platea Gradite, domiciliis ad basin collis eiusdem nominis constructis.",https://adevarul.ro/stiri-locale/slatina/urgenta-in-slatina-25-de-persoane-au-fost-2512500.html,https://cdn.adh.reperio.news/image-4/451f12bf-2dad-4c9b-9a8e-9273ce16d01c/index.jpeg?p=f%3Djpeg%26w%3D1200%26h%3D630%26r%3Dcover,,"Zeci de persoane au fost evacuate din locuine în municipiul Slatina, în urma unei alunecri de teren care a afectat deja dou case, iar altele sunt în pericol. Alunecarea s-a produs pe strada Grdite, l… [+722 chars]",,2026-03-11 11:09:40+00:00,random,,,
1b125992444bb69855e104c1930b4bd3,2026-03-09T12:22:41Z,Tsunami,tsunami,adevarul.ro,ro,0.9,"Warnung vor einem „wirtschaftlichen Tsunami“. CSAT wird um Einberufung gebeten. Der Preis für ein Barrel Öl liege bei fast 110 Dollar, etwa 20 Dollar mehr als am Freitag, was zu einem weltweiten wirtschaftlichen Tsunami führt, der die Ergreifung dringender Maßnahmen, einschließlich der Einberufung des CSAT, auf sich zieht, macht ein bekannter Ökonom darauf aufmerksam.",Avertisment privind un „tsunami economic”. Se cere convocarea CSAT,"Scumpirea barilului de petrol la aproape 110 dolari, cu circa 20 de dolari mai mult decât vineri, crează un tsunami economic la nivel mondial, impunându-se luarea unor măsuri urgente, inclusiv convocarea CSAT, atrage atenția un cunoscut economist.","Warning of an ""economic tsunami"". CSAT is requested to be convened. The price of a barrel of oil at almost 110 dollars, about 20 dollars more than on Friday, creates an economic tsunami worldwide, requiring the taking of urgent measures, including the convening of the CSAT, draws the attention of a well-known economist.","Monitum ""oeconomicum tsunami"". CSAT rogatur convocari. Pretium dolii olei in 110 dollariis fere plusquam XX dollariis Veneris die oeconomicum tsunami in orbe terrarum creat, rogans ut urgentes mensuras, incluso conventu CSAT, attentionem trahat notae oeconomi.",https://adevarul.ro/economie/avertisment-privind-un-tsunami-economic-se-cere-2513734.html,https://cdn.adh.reperio.news/image-2/2170b459-d859-4f67-9828-085015b3488d/index.jpeg?p=f%3Djpeg%26w%3D1200%26h%3D630%26r%3Dcover,,"Scumpirea barilului de petrol la aproape 110 dolari, cu circa 20 de dolari mai mult decât vineri, creaz un tsunami economic la nivel mondial, impunându-se luarea unor msuri urgente, inclusiv convocar… [+9947 chars]",,2026-03-14 10:56:51+00:00,random,,,
f99d1e9f248899e04f3fcb87162c2753,2026-03-13T05:42:47Z,Tsunami,tsunami,www.mediafax.ro,ro,0.9,"Tsunami-Gefahr im Mittelmeer? Warum die französische Stadt Nizza einen Evakuierungsplan haben sollte. Obwohl das Mittelmeer oft als ein Gebiet mit geringem Tsunami-Risiko gilt, zeigen neuere Untersuchungen, dass zerstörerische Wellen erneut die Küsten Europas treffen könnten. Fachleute warnen davor, dass die französische Stadt Nizza und die gesamte französische Riviera…",Risc de tsunami în Marea Mediterană? De ce orașul francez Nisa ar trebui să aibă un plan de evacuare,"Deși Marea Mediterană este adesea considerată o zonă cu risc redus de tsunami, cercetările recente arată că valuri distructive ar putea lovi din nou coastele Europei. Specialiștii avertizează că orașul francez Nisa și întreaga Riviera franceză ar trebui să se…","Tsunami risk in the Mediterranean? Why the French city of Nice should have an evacuation plan. Although the Mediterranean Sea is often considered a low tsunami risk area, recent research shows that destructive waves could once again hit the coasts of Europe. Specialists warn that the French city of Nice and the entire French Riviera should…","Tsunami periculum in nostro mari? Quare Nicaea civitas Franci evacuatio consilii habere debet. Quamvis Mare Mediterraneum saepe periculum regionis tsunami humile consideretur, recentes investigationes ostendunt fluctus perniciosos posse iterum litora Europae attingere. Tortores monent ut Galliae Nicaeae civitas et tota Riviera Galliae…",https://www.mediafax.ro/externe/risc-de-tsunami-in-marea-mediterana-de-ce-orasul-francez-nisa-ar-trebui-sa-aiba-un-plan-de-evacuare-23702183,https://www.mediafax.ro//wp-content/uploads/2026/03/8056962-hepta_mediafax_foto-zuma_press_hepta-1024x683.jpg,,"În imaginarul colectiv, tsunamiurile sunt asociate mai ales cu Oceanul Pacific sau cu Oceanul Indian. Totui, studiile istorice i modelele tiinifice arat c Marea Mediteran a fost lovit de numeroase as… [+3436 chars]",,2026-03-14 10:56:51+00:00,random,,,
